mmdd,time
526,27.28571429
526,364.5
527,569.1428571
527,447.8571429
529,35.35714286
529,86
529,591.5714286
531,178.5714286
531,28.92857143
531,223
531,143.7142857
601,161.1428571
601,166.7142857
601,141.3571429
601,189.9285714
602,562.2142857
602,83.14285714
602,28.14285714
602,503.4285714
603,59.28571429
603,163.4285714
603,21.5
604,894.0322
604,783.922
604,1000.785714
604,1093.357143
604,2143.357143
604,1039.134
604,1272.571429
605,1034.234
605,2883.571429
605,2702.785714
605,1626.714286
605,1546.785714
